STRUCTURE,STRUCTURE_ID,ACTION,FREQ:Frequency,REF_AREA:Reference area,UNIT_MEASURE:Unit of measure,TIME_PERIOD:Time period or range,OBS_VALUE:Observation Value,UNIT_MULT:Unit Multiplier,TIME_FORMAT:Time Format,BREAKS:Breaks,COVERAGE:Coverage,DECIMALS:Decimals,TITLE_TS:Title (tseries level),OBS_CONF:Observation confidentiality,OBS_PRE_BREAK:Pre-Break Observation,OBS_STATUS:Observation Status
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1916-04,16.372899,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1916-05,15.430338,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1916-06,14.061944,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1916-07,14.209061,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1916-08,14.383586,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1916-09,21.076449,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1916-10,13.827064,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1916-11,26.443289,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1916-12,25.139793,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1917-01,25.394706,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1917-02,25.658914,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1917-03,31.990023,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1917-04,32.306582,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1917-05,30.248794,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1917-06,23.885019,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1917-07,29.960446,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1917-08,30.789266,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1917-09,24.532603,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1917-10,19.853879,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1917-11,18.542951,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1917-12,13.553388,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1918-01,14.14473,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1918-02,19.498799,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1918-03,14.589423,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1918-04,15.161469,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1918-05,15.4688,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1918-06,20.517301,0: Units,,,,,,F: Free,,A: Normal value
dataflow,BIS:WS_LONG_CPI(1.0): Consumer prices statistics,I,M: Monthly,GB: United Kingdom,"771: Year-on-year changes, in per cent",1918-07,15.91037,0: Units,,,,,,F: Free,,A: Normal value
